area_title_declined,area_title,id,present
"Республиканский бюджет","Республиканский бюджет","2","1"
"Бюджет Гродненской области","Гродненская область","15","1"
"Бюджет Брестской области","Брестская область","16","1"
"Бюджет Минской области","Минская область","17","1"
"Бюджет Витебской области","Витебская область","21","1"
"Бюджет Могилевской области","Могилевская область","22","1"
"Бюджет Гомельской области","Гомельская область","23","1"
"Бюджет города Гродно","Гродно","152","0"
"Бюджет города Бреста","Брест","162","1"
"Бюджет города Барановичи","Барановичи","163","0"
"Бюджет города Пинска","Пинск","165","0"
"Бюджет города Минска","Минск","170","1"
"Бюджет города Витебска","Витебск","212","0"
"Бюджет города Новополоцка","Новополоцк","214","0"
"Бюджет города Могилева","Могилев","222","0"
"Бюджет города Бобруйска","Бобруйск","225","0"
"Бюджет города Гомеля","Гомель","232","0"
"Бюджет города Жодино","Жодино","1775","0"
